index	confidence	rules
234 	1.000	['6.6', '5.4']=>['No']
235 	1.000	['6', '7.5']=>['No']
236 	1.000	['6.3', '8.5']=>['No']
237 	1.000	['6.4', '6.7']=>['No']
238 	1.000	['8.7', '8.9']=>['No']
239 	1.000	['4.8', '5.8']=>['No']
240 	1.000	['6.8', '6.6']=>['No']
241 	1.000	['6', '5.3']=>['No']
242 	1.000	['5.7', '6.3']=>['No']
243 	1.000	['7', '5.6']=>['No']
244 	1.000	['6.2', '6.3']=>['No']
245 	1.000	['7.7', '5.7']=>['No']
246 	1.000	['6', '7', '5.7']=>['No']
247 	1.000	['7', '6', '6.3']=>['No']
248 	1.000	['6', '6.3', '5.2']=>['No']
249 	1.000	['6.8', '7.4', '6.4']=>['No']
250 	1.000	['6.8', '7.4', '6']=>['No']
251 	1.000	['6.8', '5.7', '6']=>['No']
252 	1.000	['6', '5', '5.5']=>['No']
253 	1.000	['6', '7', '7.2']=>['No']
254 	1.000	['6.8', '6', '5.8']=>['No']
255 	1.000	['7', '6.6', '7.3']=>['No']
256 	1.000	['6.8', '7', '6']=>['No']
257 	1.000	['6', '7.4', '6.4']=>['No']
258 	1.000	['6.8', '7.7', '6']=>['No']
259 	1.000	['6.8', '6.4', '6']=>['No']
260 	1.000	['6.8', '6', '7.3']=>['No']
261 	1.000	['6', '7', '5']=>['No']
262 	1.000	['7', '7.4', '6.8']=>['No']
263 	1.000	['6', '6.3', '5.8']=>['No']
264 	0.986	['7.5']=>['No']
265 	0.986	['6.4']=>['No']
266 	0.984	['7.9']=>['No']
267 	0.980	['5.2']=>['No']
268 	0.977	['7.1']=>['No']
269 	0.974	['4.5']=>['No']
270 	0.974	['4.9']=>['No']
271 	0.974	['5.3']=>['No']
272 	0.972	['5.1']=>['No']
273 	0.972	['7', '5.8']=>['No']
274 	0.971	['4.2']=>['No']
275 	0.970	['7.7']=>['No']
276 	0.969	['6.6']=>['No']
277 	0.969	['9.1']=>['No']
278 	0.969	['6.8']=>['No']
279 	0.968	['8.9']=>['No']
280 	0.966	['6.5']=>['No']
281 	0.966	['6', '5.8']=>['No']
282 	0.966	['6', '7.4']=>['No']
283 	0.966	['7', '5']=>['No']
284 	0.964	['6.8', '5.8']=>['No']
285 	0.964	['4.8']=>['No']
286 	0.963	['4.7']=>['No']
287 	0.963	['6.9']=>['No']
288 	0.963	['7', '7.3']=>['No']
289 	0.963	['6', '6.5']=>['No']
290 	0.962	['7', '5.9']=>['No']
291 	0.961	['7.4']=>['No']
292 	0.960	['6', '5']=>['No']
